age,experience_years,education,job_title,income,region,employment_status,enumerator_id,question_id
38,16,Bachelor,Marketing Specialist,11363,Dammam,Self-employed,E002,Q10
45,26,PhD,Security Guard,3047,Riyadh,Full-time,E013,Q10
46,10,Master,Project Manager,28016,Jeddah,Full-time,E014,Q7
30,5,High School,Cashier,7566,Jeddah,Full-time,E001,Q8
45,22,High School,Security Guard,5978,Riyadh,Full-time,E005,Q7
52,7,Master,Researcher,31592,Dammam,Part-time,E009,Q8
49,26,PhD,Cashier,5938,Riyadh,Full-time,E009,Q10
40,4,Master,Researcher,22501,Riyadh,Part-time,E010,Q8
36,17,PhD,Senior Researcher,68892,Dammam,Self-employed,E012,Q9
38,6,Master,Consultant,23815,Riyadh,Full-time,E013,Q10
57,31,PhD,Research Director,38096,Jeddah,Full-time,E013,Q8
50,27,Master,Data Scientist,36754,Jeddah,Self-employed,E014,Q6
32,11,High School,Janitor,7220,Riyadh,Full-time,E013,Q7
12,8,High School,Clerk,6032,Dammam,Full-time,E008,Q7
45,26,PhD,Professor,64985,Riyadh,Part-time,E008,Q2
58,17,PhD,Research Director,35142,Dammam,Full-time,E013,Q10
47,23,Master,Project Manager,32884,Dammam,Full-time,E015,Q3
37,2,PhD,Senior Researcher,64080,Riyadh,Unemployed,E015,Q10
32,0,Diploma,Technician,8189,Riyadh,Self-employed,E013,Q6
18,0,High School,Security Guard,5487,Riyadh,Full-time,E015,Q8
16,10,PhD,Scientist,63748,Jeddah,Full-time,E010,Q10
24,5,High School,Driver,3370,Riyadh,Full-time,E007,Q8
35,0,Diploma,Administrative Assistant,0,Dammam,Full-time,E011,Q3
20,24,Master,Senior Engineer,27556,Jeddah,Student,E005,Q3
38,15,Bachelor,Designer,11935,Dammam,Full-time,E003,Q5
27,0,Diploma,Technician,8720,Jeddah,Full-time,E014,Q9
50,1,Diploma,Nurse,11934,Dammam,Full-time,E014,Q10
37,8,High School,Worker,7653,Dammam,Part-time,E004,Q5
32,1,PhD,Research Director,31319,Riyadh,Self-employed,E011,Q2
45,25,Bachelor,Accountant,11483,Jeddah,Full-time,E013,Q10
27,4,Bachelor,Teacher,10060,Jeddah,Full-time,E005,Q7
25,0,High School,Security Guard,4007,Dammam,Full-time,E001,Q10
32,12,PhD,Waiter,6527,Jeddah,Self-employed,E014,Q10
34,9,Bachelor,HR Officer,19675,Dammam,Full-time,E009,Q7
31,11,Bachelor,HR Officer,12008,Jeddah,Full-time,E005,Q6
58,21,PhD,Scientist,61756,Riyadh,Full-time,E001,Q3
