age,experience_years,education,job_title,income,region,employment_status,enumerator_id,question_id
42,47,Diploma,Nurse,7967,Riyadh,Full-time,E006,Q1
47,29,PhD,Department Head,49310,Riyadh,Unemployed,E010,Q1
47,13,Diploma,Receptionist,10520,Jeddah,Self-employed,E011,Q2
37,10,PhD,Security Guard,5804,Riyadh,Full-time,E003,Q9
43,9,PhD,Scientist,48155,Jeddah,Part-time,E014,Q3
45,21,PhD,Scientist,31251,Dammam,Full-time,E008,Q8
43,23,Diploma,Nurse,10374,Jeddah,Full-time,E010,Q6
38,6,Bachelor,Designer,21840,Dammam,Full-time,E009,Q10
45,1,Master,Data Scientist,17169,Riyadh,Full-time,E011,Q5
51,33,PhD,Senior Researcher,52716,Riyadh,Full-time,E001,Q1
20,2,High School,Clerk,5731,Dammam,Part-time,E008,Q4
56,21,PhD,Research Director,53635,Riyadh,Full-time,E012,Q4
27,9,Bachelor,Accountant,9184,Dammam,Full-time,E001,Q5
33,15,PhD,Professor,26732,Dammam,Part-time,E008,Q6
19,17,PhD,Professor,64087,Jeddah,Self-employed,E008,Q4
27,9,High School,Cashier,6141,Jeddah,Full-time,E015,Q10
57,26,High School,Research Director,76863,Riyadh,Full-time,E006,Q7
28,8,Bachelor,Teacher,8501,Riyadh,Full-time,E011,Q7
39,18,Master,Researcher,28340,Jeddah,Full-time,E015,Q2
23,3,High School,Worker,5931,Jeddah,Part-time,E001,Q3
18,0,High School,Janitor,4487,Dammam,Self-employed,E004,Q8
38,9,Bachelor,Designer,16600,Riyadh,Full-time,E002,Q7
27,3,Bachelor,Software Developer,9911,Jeddah,Part-time,E011,Q9
14,3,High School,Worker,3181,Jeddah,Full-time,E003,Q4
35,5,Master,Financial Analyst,0,Dammam,Self-employed,E007,Q3
39,9,High School,Cashier,4326,Jeddah,Self-employed,E011,Q2
42,22,High School,Cashier,5439,Dammam,Full-time,E009,Q10
20,0,High School,Janitor,42000,Dammam,Unemployed,E002,Q9
55,11,PhD,Professor,28326,Riyadh,Full-time,E009,Q7
40,18,High School,Cashier,3979,Jeddah,Full-time,E010,Q7
21,4,PhD,Senior Researcher,65662,Riyadh,Full-time,E003,Q8
22,1,PhD,Senior Researcher,76518,Jeddah,Full-time,E014,Q10
30,7,PhD,Professor,65036,Jeddah,Full-time,E007,Q5
37,8,Bachelor,Analyst,20392,Riyadh,Full-time,E001,Q7
30,5,PhD,Senior Researcher,25691,Riyadh,Self-employed,E001,Q6
32,11,High School,Driver,3678,Dammam,Full-time,E015,Q7
54,32,PhD,Research Director,32477,Dammam,Self-employed,E006,Q7
27,6,Master,Financial Analyst,29212,Jeddah,Full-time,E009,Q9
19,3,PhD,Professor,57934,Dammam,Part-time,E008,Q4
42,6,High School,Worker,6134,Dammam,Part-time,E015,Q6
22,0,Diploma,Research Director,40091,Jeddah,Full-time,E008,Q3
36,5,High School,Waiter,3799,Dammam,Full-time,E001,Q5
29,10,Master,Researcher,24550,Jeddah,Full-time,E001,Q4
31,44,PhD,Department Head,38891,Jeddah,Full-time,E012,Q2
32,13,PhD,Research Director,67399,Dammam,Full-time,E013,Q3
12,0,PhD,Senior Researcher,37379,Dammam,Full-time,E015,Q6
16,16,Diploma,Administrative Assistant,5152,Jeddah,Full-time,E012,Q2
37,9,High School,Driver,74420,Dammam,Unemployed,E013,Q5
25,4,Diploma,Professor,69826,Riyadh,Full-time,E011,Q9
23,1,Diploma,Scientist,64751,Riyadh,Full-time,E006,Q5
44,60,High School,Worker,7094,Riyadh,Full-time,E008,Q8
30,8,PhD,Scientist,45596,Jeddah,Self-employed,E010,Q10
19,5,PhD,Senior Researcher,63623,Jeddah,Full-time,E006,Q4
34,5,Diploma,Nurse,11968,Riyadh,Part-time,E013,Q2
32,9,High School,Security Guard,4165,Dammam,Full-time,E014,Q5
43,12,Master,Project Manager,29441,Jeddah,Self-employed,E008,Q4
45,11,PhD,Scientist,39321,Riyadh,Full-time,E008,Q9
34,2,Bachelor,Software Developer,10124,Riyadh,Full-time,E004,Q5
23,2,High School,Janitor,4786,Jeddah,Full-time,E002,Q9
49,24,Bachelor,Designer,10600,Jeddah,Part-time,E008,Q9
34,44,High School,Driver,6841,Riyadh,Full-time,E001,Q8
31,8,High School,Janitor,4351,Riyadh,Full-time,E007,Q2
26,8,Master,Project Manager,29294,Jeddah,Full-time,E005,Q7
34,15,High School,Clerk,7165,Jeddah,Full-time,E003,Q10
21,18,Master,Financial Analyst,28580,Jeddah,Student,E014,Q1
53,14,PhD,Scientist,34675,Riyadh,Self-employed,E009,Q10
48,9,Bachelor,Analyst,12743,Dammam,Full-time,E008,Q8
21,2,Diploma,Receptionist,7474,Dammam,Full-time,E001,Q2
41,1,Master,Project Manager,22112,Dammam,Full-time,E003,Q4
19,10,High School,Clerk,3839,Riyadh,Student,E001,Q4
42,15,High School,Security Guard,0,Jeddah,Full-time,E004,Q9
39,18,High School,Clerk,5957,Jeddah,Part-time,E009,Q6
46,5,PhD,Senior Researcher,59233,Riyadh,Part-time,E003,Q6
44,6,Bachelor,Accountant,8235,Riyadh,Self-employed,E001,Q6
73,1,Master,Project Manager,30633,Jeddah,Full-time,E006,Q2
31,5,Diploma,Nurse,8073,Riyadh,Full-time,E012,Q1
22,1,High School,Clerk,0,Dammam,Full-time,E010,Q4
40,54,Bachelor,HR Officer,17569,Jeddah,Full-time,E003,Q2
21,17,High School,Worker,3807,Riyadh,Student,E009,Q1
18,25,High School,Waiter,5239,Riyadh,Student,E003,Q1
41,14,Master,Project Manager,17979,Riyadh,Full-time,E002,Q3
22,0,High School,Clerk,3146,Dammam,Full-time,E015,Q5
44,2,Diploma,Technician,6595,Jeddah,Full-time,E015,Q3
35,8,High School,Worker,7199,Riyadh,Full-time,E009,Q2
24,2,Bachelor,Analyst,18979,Dammam,Full-time,E007,Q6
30,5,High School,Worker,4774,Riyadh,Full-time,E001,Q3
30,7,Master,Researcher,38014,Dammam,Self-employed,E014,Q9
45,4,High School,Waiter,4885,Dammam,Full-time,E013,Q5
33,5,Diploma,Nurse,7057,Jeddah,Full-time,E014,Q4
44,12,PhD,Department Head,26820,Dammam,Full-time,E005,Q10
19,17,High School,Waiter,7991,Dammam,Student,E011,Q4
29,4,Master,Consultant,31448,Dammam,Full-time,E015,Q1
24,3,High School,Waiter,7957,Riyadh,Full-time,E006,Q7
27,4,Master,Financial Analyst,31238,Jeddah,Full-time,E011,Q10
37,2,Bachelor,HR Officer,17287,Riyadh,Self-employed,E015,Q6
39,20,Bachelor,Accountant,14603,Dammam,Full-time,E014,Q4
43,8,PhD,Department Head,65763,Jeddah,Self-employed,E007,Q8
51,29,PhD,Waiter,5630,Riyadh,Full-time,E015,Q2
72,5,PhD,Research Director,58838,Dammam,Full-time,E010,Q10
46,0,Bachelor,Software Developer,17921,Riyadh,Full-time,E001,Q3
33,4,Diploma,Nurse,10895,Jeddah,Part-time,E007,Q10
51,7,Master,Consultant,33776,Jeddah,Full-time,E013,Q6
19,20,PhD,Senior Researcher,74937,Jeddah,Full-time,E005,Q8
36,15,Master,Consultant,33473,Jeddah,Self-employed,E008,Q10
28,10,Bachelor,Designer,11172,Jeddah,Part-time,E004,Q9
38,14,Bachelor,Software Developer,24452,Jeddah,Full-time,E001,Q6
49,26,Bachelor,HR Officer,20913,Riyadh,Full-time,E003,Q1
54,2,PhD,Research Director,53953,Dammam,Part-time,E010,Q6
37,4,High School,Worker,4934,Riyadh,Part-time,E004,Q2
20,25,Bachelor,Analyst,11268,Dammam,Student,E005,Q6
49,20,Bachelor,Accountant,14123,Riyadh,Full-time,E007,Q9
55,13,Master,Researcher,25191,Dammam,Full-time,E012,Q7
40,0,Diploma,Professor,77846,Jeddah,Full-time,E001,Q6
22,3,Bachelor,Designer,8860,Riyadh,Self-employed,E001,Q8
52,6,PhD,Professor,31516,Jeddah,Full-time,E006,Q1
51,3,PhD,Professor,64953,Riyadh,Full-time,E014,Q7
82,2,PhD,Research Director,53562,Dammam,Full-time,E007,Q5
32,3,High School,Driver,6164,Jeddah,Self-employed,E012,Q9
74,2,Master,Project Manager,28146,Jeddah,Full-time,E002,Q8
41,11,Bachelor,HR Officer,8607,Dammam,Full-time,E006,Q8
39,9,Master,Consultant,21856,Riyadh,Full-time,E007,Q4
12,2,Master,Data Scientist,22341,Jeddah,Full-time,E008,Q6
95,16,PhD,Scientist,43586,Riyadh,Full-time,E012,Q7
50,14,Bachelor,Accountant,16623,Jeddah,Full-time,E013,Q5
41,15,Diploma,Technician,10114,Dammam,Full-time,E013,Q3
49,13,Master,Consultant,29200,Riyadh,Full-time,E003,Q4
19,2,PhD,Professor,55821,Dammam,Full-time,E002,Q5
24,2,High School,Worker,56910,Dammam,Unemployed,E010,Q4
30,5,High School,Security Guard,7851,Dammam,Full-time,E001,Q3
34,53,Diploma,Lab Technician,10603,Jeddah,Part-time,E002,Q7
24,6,PhD,Security Guard,4524,Jeddah,Full-time,E014,Q1
21,21,Diploma,Administrative Assistant,10025,Jeddah,Student,E001,Q1
33,4,Bachelor,HR Officer,14228,Jeddah,Full-time,E014,Q3
48,9,Bachelor,Software Developer,16763,Dammam,Full-time,E013,Q5
38,16,Bachelor,HR Officer,22779,Jeddah,Full-time,E003,Q7
25,1,Master,Senior Engineer,21107,Dammam,Full-time,E009,Q10
16,9,PhD,Professor,34709,Riyadh,Part-time,E009,Q1
39,15,PhD,Senior Researcher,41473,Riyadh,Full-time,E001,Q10
76,0,High School,Driver,3216,Dammam,Full-time,E011,Q5
22,4,Bachelor,Analyst,16539,Jeddah,Full-time,E008,Q7
33,5,Master,Project Manager,70031,Dammam,Unemployed,E002,Q8
49,10,Master,Project Manager,31138,Jeddah,Full-time,E013,Q7
37,3,High School,Clerk,0,Riyadh,Self-employed,E001,Q5
34,6,Diploma,Nurse,0,Dammam,Full-time,E012,Q4
57,16,PhD,Senior Researcher,25474,Jeddah,Full-time,E007,Q10
32,14,Diploma,Lab Technician,5439,Dammam,Full-time,E008,Q6
44,3,Master,Consultant,38956,Dammam,Full-time,E012,Q4
43,18,High School,Clerk,4712,Jeddah,Part-time,E006,Q8
45,8,Bachelor,Software Developer,15332,Jeddah,Part-time,E012,Q5
12,3,High School,Driver,5829,Dammam,Self-employed,E012,Q10
27,9,Diploma,Administrative Assistant,7083,Dammam,Full-time,E015,Q2
36,7,Diploma,Administrative Assistant,11860,Jeddah,Full-time,E005,Q8
26,1,Master,Researcher,33081,Jeddah,Full-time,E010,Q1
39,7,Master,Researcher,39343,Riyadh,Full-time,E015,Q6
35,14,Master,Project Manager,34004,Riyadh,Part-time,E011,Q3
43,6,PhD,Cashier,4021,Dammam,Full-time,E005,Q2
51,6,PhD,Research Director,25603,Riyadh,Full-time,E012,Q3
49,27,Diploma,Lab Technician,6242,Jeddah,Full-time,E010,Q3
42,1,Bachelor,Software Developer,13112,Jeddah,Full-time,E011,Q1
36,7,Master,Financial Analyst,20712,Dammam,Self-employed,E002,Q9
32,7,Bachelor,Analyst,14710,Riyadh,Full-time,E003,Q4
50,22,PhD,Scientist,51044,Dammam,Self-employed,E013,Q10
40,9,Master,Project Manager,36547,Riyadh,Full-time,E007,Q6
49,4,Diploma,Administrative Assistant,7255,Jeddah,Full-time,E001,Q2
35,6,Bachelor,Marketing Specialist,22869,Dammam,Full-time,E010,Q4
34,9,Master,Researcher,35800,Jeddah,Full-time,E011,Q1
32,40,Diploma,Receptionist,7507,Riyadh,Full-time,E012,Q4
36,1,High School,Research Director,55924,Jeddah,Self-employed,E012,Q2
19,22,Bachelor,HR Officer,13706,Dammam,Student,E001,Q9
46,27,Diploma,Nurse,10573,Jeddah,Full-time,E002,Q9
34,7,Diploma,Professor,57358,Riyadh,Full-time,E014,Q4
34,9,Bachelor,Software Developer,24011,Jeddah,Self-employed,E004,Q4
58,8,High School,Scientist,71344,Riyadh,Full-time,E006,Q9
40,6,Diploma,Receptionist,8778,Jeddah,Full-time,E015,Q3
42,6,PhD,Senior Researcher,33133,Dammam,Self-employed,E008,Q4
37,9,High School,Clerk,6337,Riyadh,Full-time,E013,Q7
49,7,Master,Project Manager,32662,Dammam,Part-time,E011,Q3
14,0,High School,Clerk,3880,Riyadh,Full-time,E007,Q8
21,18,PhD,Professor,61747,Jeddah,Full-time,E015,Q8
39,15,High School,Professor,53800,Dammam,Self-employed,E003,Q4
26,1,PhD,Cashier,5178,Riyadh,Full-time,E014,Q2
32,1,PhD,Security Guard,3951,Riyadh,Full-time,E013,Q3
33,5,Master,Financial Analyst,36605,Riyadh,Self-employed,E009,Q3
29,10,Diploma,Research Director,65844,Riyadh,Part-time,E001,Q9
39,8,Diploma,Technician,8047,Jeddah,Self-employed,E005,Q6
24,1,Bachelor,Analyst,12995,Jeddah,Full-time,E012,Q5
27,5,Diploma,Lab Technician,9873,Riyadh,Self-employed,E005,Q3
32,4,Master,Data Scientist,17556,Dammam,Full-time,E008,Q8
37,8,Master,Financial Analyst,34329,Riyadh,Full-time,E013,Q10
31,9,Bachelor,Marketing Specialist,18722,Dammam,Full-time,E010,Q2
36,4,PhD,Department Head,79971,Riyadh,Unemployed,E005,Q10
26,36,Diploma,Receptionist,10998,Jeddah,Self-employed,E003,Q1
36,15,Diploma,Administrative Assistant,10991,Jeddah,Self-employed,E001,Q5
33,5,PhD,Senior Researcher,59386,Dammam,Full-time,E015,Q8
43,21,PhD,Research Director,30893,Riyadh,Full-time,E013,Q1
48,18,High School,Clerk,79289,Riyadh,Unemployed,E015,Q3
71,6,PhD,Research Director,37209,Jeddah,Full-time,E008,Q3
30,5,High School,Driver,3218,Riyadh,Full-time,E001,Q8
36,0,Bachelor,HR Officer,18377,Jeddah,Full-time,E003,Q6
